"","location","continent","date","people_fully_vaccinated","people_fully_vaccinated_per_hundred","new_cases","total_cases","new_deaths","new_deaths_per_million","total_deaths_per_million"
"1","Afghanistan","Asia",2021-05-11,55624,0.14,340,62403,12,0.301,68.03
"2","Afghanistan","Asia",2021-05-20,77560,0.19,453,64575,10,0.251,69.586
"3","Afghanistan","Asia",2021-05-24,96910,0.24,547,66275,10,0.251,70.59
"4","Afghanistan","Asia",2021-05-26,111082,0.28,840,67743,19,0.477,71.67
"5","Afghanistan","Asia",2021-05-27,113739,0.29,623,68366,14,0.351,72.021
"6","Afghanistan","Asia",2021-05-30,119926,0.3,650,70761,20,0.502,73.276
"7","Afghanistan","Asia",2021-06-02,144600,0.36,1049,74026,34,0.854,75.486
"8","Afghanistan","Asia",2021-06-03,148505,0.37,1093,75119,27,0.678,76.163
"9","Afghanistan","Asia",2021-06-08,158343,0.4,1485,82326,64,1.607,81.611
"10","Afghanistan","Asia",2021-06-14,177266,0.44,1597,91458,85,2.134,90.673
"11","Afghanistan","Asia",2021-06-22,183762,0.46,1847,105749,78,1.958,107.768
"12","Afghanistan","Asia",2021-06-27,186260,0.47,1096,114220,56,1.406,116.73
"13","Afghanistan","Asia",2021-06-30,187654,0.47,1501,118659,77,1.933,122.278
"14","Afghanistan","Asia",2021-07-05,189322,0.48,1189,125937,84,2.109,132.621
"15","Afghanistan","Asia",2021-07-07,199250,0.5,1557,129021,55,1.381,135.934
"16","Afghanistan","Asia",2021-07-11,219159,0.55,801,133578,86,2.159,143.691
"17","Afghanistan","Asia",2021-08-20,430744,1.08,37,152448,7,0.176,177.079
"18","Afghanistan","Asia",2021-11-14,3188609,8,42,156552,1,0.025,183.078
"19","Afghanistan","Asia",2021-12-27,3753224,9.42,16,157967,0,0,184.61
"20","Afghanistan","Asia",2022-01-09,3809353,9.56,72,158381,4,0.1,185.087
"21","Afghanistan","Asia",2022-01-11,3814837,9.58,77,158471,1,0.025,185.112
"22","Afghanistan","Asia",2022-01-13,3823786,9.6,91,158602,0,0,185.162
"23","Afghanistan","Asia",2022-01-17,3832821,9.62,109,158826,2,0.05,185.287
"24","Afghanistan","Asia",2022-01-19,3836731,9.63,96,159070,3,0.075,185.413
"25","Afghanistan","Asia",2022-01-24,3851307,9.67,247,159896,0,0,185.589
"26","Afghanistan","Asia",2022-01-26,3866279,9.71,440,160692,4,0.1,185.789
"27","Afghanistan","Asia",2022-01-27,3868832,9.71,312,161004,2,0.05,185.84
"28","Afghanistan","Asia",2022-01-31,3892831,9.77,815,162926,6,0.151,186.116
"29","Afghanistan","Asia",2022-02-02,3912336,9.82,635,164190,1,0.025,186.216
"30","Afghanistan","Asia",2022-02-07,3959887,9.94,733,166924,10,0.251,186.819
"31","Afghanistan","Asia",2022-02-14,4043580,10.15,642,171246,7,0.176,188.3
"32","Afghanistan","Asia",2022-02-20,4125717,10.36,274,172205,5,0.126,189.254
"33","Afghanistan","Asia",2022-02-27,4231984,10.62,249,173395,8,0.201,190.609
"34","Afghanistan","Asia",2022-03-06,4281934,10.75,251,174582,1,0.025,191.362
"35","Afghanistan","Asia",2022-03-17,4402868,11.05,175,176918,0,0,192.065
"36","Afghanistan","Asia",2022-03-22,4420127,11.1,64,177255,2,0.05,192.191
"37","Afghanistan","Asia",2022-04-04,4532577,11.38,70,177897,0,0,192.567
"38","Afghanistan","Asia",2022-04-14,4595506,11.54,57,178352,0,0,192.693
"39","Afghanistan","Asia",2022-04-18,4603187,11.56,39,178457,1,0.025,192.768
"40","Afghanistan","Asia",2022-04-26,4636946,11.64,24,178769,0,0,192.869
"41","Afghanistan","Asia",2022-04-27,4637327,11.64,40,178809,0,0,192.869
"42","Afghanistan","Asia",2022-05-05,4668999,11.72,4,178905,1,0.025,192.894
"43","Albania","Europe",2021-02-02,1,0,942,79934,5,1.74,486.611
"44","Albania","Europe",2021-02-09,438,0.02,1239,87528,16,5.569,517.937
"45","Albania","Europe",2021-02-17,611,0.02,1075,95726,18,6.265,556.922
"46","Albania","Europe",2021-02-18,611,0.02,1112,96838,17,5.917,562.839
"47","Albania","Europe",2021-02-22,655,0.02,1039,101285,15,5.221,585.116
"48","Albania","Europe",2021-05-11,181586,6.32,50,131803,4,1.392,842.344
"49","Albania","Europe",2021-05-12,187921,6.54,42,131845,3,1.044,843.389
"50","Albania","Europe",2021-05-13,192936,6.72,45,131890,3,1.044,844.433
"51","Albania","Europe",2021-05-14,204759,7.13,49,131939,1,0.348,844.781
"52","Albania","Europe",2021-05-17,223103,7.77,17,132032,3,1.044,847.566
"53","Albania","Europe",2021-05-18,228756,7.96,39,132071,1,0.348,847.914
"54","Albania","Europe",2021-05-19,234409,8.16,24,132095,2,0.696,848.61
"55","Albania","Europe",2021-05-20,237660,8.27,23,132118,2,0.696,849.306
"56","Albania","Europe",2021-05-21,239677,8.34,35,132153,1,0.348,849.654
"57","Albania","Europe",2021-05-23,243776,8.49,33,132209,2,0.696,850.698
"58","Albania","Europe",2021-05-24,249898,8.7,6,132215,1,0.348,851.046
"59","Albania","Europe",2021-05-26,269197,9.37,15,132244,0,0,851.743
"60","Albania","Europe",2021-05-27,277255,9.65,20,132264,0,0,851.743
"61","Albania","Europe",2021-05-30,287042,9.99,12,132309,1,0.348,852.787
"62","Albania","Europe",2021-05-31,290333,10.11,6,132315,1,0.348,853.135
"63","Albania","Europe",2021-06-01,293264,10.21,22,132337,0,0,853.135
"64","Albania","Europe",2021-06-03,297271,10.35,9,132360,0,0,853.135
"65","Albania","Europe",2021-06-06,306102,10.65,5,132379,0,0,853.135
"66","Albania","Europe",2021-06-07,310336,10.8,5,132384,1,0.348,853.483
"67","Albania","Europe",2021-06-08,315555,10.98,13,132397,0,0,853.483
"68","Albania","Europe",2021-06-09,320532,11.16,18,132415,0,0,853.483
"69","Albania","Europe",2021-06-10,324616,11.3,11,132426,0,0,853.483
